Question,Option1,Option2,Option3,Option4,Answer
Which animal is known as the ship of the desert? (Set 10),Horse,Camel,Donkey,Elephant,Camel
What is the boiling point of water? (Set 9),90°C,100°C,110°C,120°C,100°C
What does DNA stand for? (Set 1),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
Which metal is liquid at room temperature? (Set 3),Gold,Mercury,Silver,Zinc,Mercury
Which bird is a universal symbol of peace? (Set 6),Crow,Swan,Dove,Eagle,Dove
What is the national sport of Japan? (Set 1),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
Who painted the Mona Lisa? (Set 2),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
How many continents are there? (Set 2),5,6,7,8,7
What is the square root of 144? (Set 1),10,11,12,13,12
Which planet is closest to the sun? (Set 9),Earth,Mercury,Venus,Mars,Mercury
Which animal is known as the ship of the desert? (Set 3),Horse,Camel,Donkey,Elephant,Camel
What does DNA stand for? (Set 2),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
Which metal is liquid at room temperature? (Set 7),Gold,Mercury,Silver,Zinc,Mercury
How many players are there in a cricket team? (Set 1),10,11,12,9,11
Which is the longest river in the world? (Set 5),Nile,Amazon,Yangtze,Mississippi,Nile
In which country are the pyramids located? (Set 9),India,Mexico,Egypt,Iraq,Egypt
What year did World War II end? (Set 2),1944,1945,1946,1947,1945
What is the hardest natural substance? (Set 2),Gold,Iron,Diamond,Silver,Diamond
Which metal is liquid at room temperature? (Set 6),Gold,Mercury,Silver,Zinc,Mercury
What is the main gas found in the air we breathe? (Set 3),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
Which gas is essential for us to breathe? (Set 7),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
Which organ purifies our blood? (Set 5),Heart,Lungs,Liver,Kidneys,Kidneys
Which vitamin is produced when skin is exposed to sunlight? (Set 3),A,B,C,D,D
Who wrote 'Hamlet'? (Set 4),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is H2O more commonly known as? (Set 8),Oxygen,Hydrogen,Water,Steam,Water
In which country are the pyramids located? (Set 2),India,Mexico,Egypt,Iraq,Egypt
Which planet is closest to the sun? (Set 2),Earth,Mercury,Venus,Mars,Mercury
Which planet is known as the Red Planet? (Set 4),Earth,Venus,Mars,Jupiter,Mars
Which vitamin is produced when skin is exposed to sunlight? (Set 5),A,B,C,D,D
How many bones are there in the human body? (Set 8),206,201,208,210,206
Which planet is closest to the sun? (Set 8),Earth,Mercury,Venus,Mars,Mercury
Which planet is closest to the sun? (Set 1),Earth,Mercury,Venus,Mars,Mercury
What is H2O more commonly known as? (Set 5),Oxygen,Hydrogen,Water,Steam,Water
How many continents are there? (Set 4),5,6,7,8,7
Which gas is essential for us to breathe? (Set 3),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
What does DNA stand for? (Set 6),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
What currency is used in Japan? (Set 8),Yen,Won,Ruble,Dollar,Yen
In which country are the pyramids located? (Set 1),India,Mexico,Egypt,Iraq,Egypt
How many players are there in a cricket team? (Set 10),10,11,12,9,11
What currency is used in Japan? (Set 4),Yen,Won,Ruble,Dollar,Yen
Which vitamin is produced when skin is exposed to sunlight? (Set 10),A,B,C,D,D
Who painted the Mona Lisa? (Set 10),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What is the square root of 144? (Set 8),10,11,12,13,12
Which part of the plant conducts photosynthesis? (Set 4),Root,Stem,Leaf,Flower,Leaf
Who wrote 'Hamlet'? (Set 3),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
Which planet is closest to the sun? (Set 10),Earth,Mercury,Venus,Mars,Mercury
How many players are there in a cricket team? (Set 5),10,11,12,9,11
What is the capital of France? (Set 1),Berlin,Madrid,Paris,Rome,Paris
What is the main ingredient in guacamole? (Set 5),Onion,Tomato,Avocado,Pepper,Avocado
What do we call animals that eat both plants and meat? (Set 4),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
Which vitamin is produced when skin is exposed to sunlight? (Set 7),A,B,C,D,D
What is the largest island in the world? (Set 2),Greenland,Australia,Iceland,Borneo,Greenland
Which is the second most spoken language in the world? (Set 9),English,Spanish,Hindi,Arabic,Spanish
Which bird is a universal symbol of peace? (Set 5),Crow,Swan,Dove,Eagle,Dove
What is the national sport of Japan? (Set 7),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
Which ocean is the largest? (Set 8),Atlantic,Indian,Southern,Pacific,Pacific
Who is known as the father of computers? (Set 7),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
What is the largest island in the world? (Set 4),Greenland,Australia,Iceland,Borneo,Greenland
Which is the second most spoken language in the world? (Set 7),English,Spanish,Hindi,Arabic,Spanish
What is the chemical symbol for gold? (Set 8),Au,Ag,Gd,Go,Au
Who painted the Mona Lisa? (Set 3),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
Who discovered gravity? (Set 9),Newton,Einstein,Tesla,Galileo,Newton
Which ocean is the largest? (Set 2),Atlantic,Indian,Southern,Pacific,Pacific
Who is known as the father of computers? (Set 4),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
What is the main gas found in the air we breathe? (Set 4),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
Which bird is a universal symbol of peace? (Set 10),Crow,Swan,Dove,Eagle,Dove
Who painted the Mona Lisa? (Set 8),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What is H2O more commonly known as? (Set 4),Oxygen,Hydrogen,Water,Steam,Water
Who was the first President of India? (Set 3),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Which is the longest river in the world? (Set 1),Nile,Amazon,Yangtze,Mississippi,Nile
Which bird is a universal symbol of peace? (Set 7),Crow,Swan,Dove,Eagle,Dove
Which is the second most spoken language in the world? (Set 10),English,Spanish,Hindi,Arabic,Spanish
Who invented the telephone? (Set 9),Edison,Bell,Tesla,Marconi,Bell
What is the largest mammal? (Set 1),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Which part of the plant conducts photosynthesis? (Set 6),Root,Stem,Leaf,Flower,Leaf
Who was the first President of India? (Set 5),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
What is the freezing point of water? (Set 8),0°C,32°C,10°C,100°C,0°C
What is the boiling point of water? (Set 1),90°C,100°C,110°C,120°C,100°C
Which gas is essential for us to breathe? (Set 1),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
Which instrument is used to measure temperature? (Set 1),Ruler,Barometer,Thermometer,Altimeter,Thermometer
Which planet is known as the Red Planet? (Set 6),Earth,Venus,Mars,Jupiter,Mars
What does DNA stand for? (Set 5),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
Which planet is closest to the sun? (Set 7),Earth,Mercury,Venus,Mars,Mercury
What is the chemical symbol for gold? (Set 9),Au,Ag,Gd,Go,Au
Which is the tallest mountain in the world? (Set 9),K2,Everest,Makalu,Kanchenjunga,Everest
What is the hardest natural substance? (Set 7),Gold,Iron,Diamond,Silver,Diamond
What does DNA stand for? (Set 8),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
How many players are there in a cricket team? (Set 3),10,11,12,9,11
What is the national sport of Japan? (Set 3),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
What is the capital of Canada? (Set 6),Toronto,Vancouver,Ottawa,Montreal,Ottawa
What is the smallest planet in our solar system? (Set 8),Venus,Mercury,Mars,Pluto,Mercury
Which is the longest river in the world? (Set 4),Nile,Amazon,Yangtze,Mississippi,Nile
Who wrote 'Hamlet'? (Set 2),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the capital of France? (Set 9),Berlin,Madrid,Paris,Rome,Paris
What is the main gas found in the air we breathe? (Set 8),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
What is the largest island in the world? (Set 1),Greenland,Australia,Iceland,Borneo,Greenland
What is the main source of energy for Earth? (Set 10),Wind,Coal,Sun,Water,Sun
Which planet is known as the Red Planet? (Set 9),Earth,Venus,Mars,Jupiter,Mars
What is the largest island in the world? (Set 10),Greenland,Australia,Iceland,Borneo,Greenland
Which is the tallest mountain in the world? (Set 10),K2,Everest,Makalu,Kanchenjunga,Everest
Which festival is known as the festival of lights? (Set 4),Holi,Diwali,Eid,Christmas,Diwali
What is the hardest natural substance? (Set 9),Gold,Iron,Diamond,Silver,Diamond
Which festival is known as the festival of lights? (Set 2),Holi,Diwali,Eid,Christmas,Diwali
What currency is used in Japan? (Set 9),Yen,Won,Ruble,Dollar,Yen
Which ocean is the largest? (Set 10),Atlantic,Indian,Southern,Pacific,Pacific
Which is the longest river in the world? (Set 9),Nile,Amazon,Yangtze,Mississippi,Nile
Who was the first President of India? (Set 10),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Who invented the telephone? (Set 7),Edison,Bell,Tesla,Marconi,Bell
What does DNA stand for? (Set 7),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
What currency is used in Japan? (Set 1),Yen,Won,Ruble,Dollar,Yen
Which bird is a universal symbol of peace? (Set 8),Crow,Swan,Dove,Eagle,Dove
What is the smallest planet in our solar system? (Set 2),Venus,Mercury,Mars,Pluto,Mercury
Which continent is known as the Dark Continent? (Set 4),Asia,Africa,Australia,Europe,Africa
What is the national flower of India? (Set 2),Rose,Lotus,Marigold,Jasmine,Lotus
Who was the first man on the Moon? (Set 4),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Who was the first man on the Moon? (Set 6),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Which part of the plant conducts photosynthesis? (Set 8),Root,Stem,Leaf,Flower,Leaf
What is the boiling point of water? (Set 2),90°C,100°C,110°C,120°C,100°C
Which planet is known as the Red Planet? (Set 7),Earth,Venus,Mars,Jupiter,Mars
What is the main ingredient in guacamole? (Set 6),Onion,Tomato,Avocado,Pepper,Avocado
Who invented the telephone? (Set 4),Edison,Bell,Tesla,Marconi,Bell
Which festival is known as the festival of lights? (Set 1),Holi,Diwali,Eid,Christmas,Diwali
Which continent is known as the Dark Continent? (Set 5),Asia,Africa,Australia,Europe,Africa
How many continents are there? (Set 3),5,6,7,8,7
What is the hardest natural substance? (Set 1),Gold,Iron,Diamond,Silver,Diamond
How many bones are there in the human body? (Set 6),206,201,208,210,206
What do bees collect and use to make honey? (Set 4),Nectar,Pollen,Water,Sap,Nectar
What is the smallest planet in our solar system? (Set 7),Venus,Mercury,Mars,Pluto,Mercury
Which festival is known as the festival of lights? (Set 10),Holi,Diwali,Eid,Christmas,Diwali
Which part of the plant conducts photosynthesis? (Set 1),Root,Stem,Leaf,Flower,Leaf
Which planet is known as the Red Planet? (Set 3),Earth,Venus,Mars,Jupiter,Mars
What does DNA stand for? (Set 3),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
Who discovered gravity? (Set 8),Newton,Einstein,Tesla,Galileo,Newton
What is the main source of energy for Earth? (Set 5),Wind,Coal,Sun,Water,Sun
Which ocean is the largest? (Set 3),Atlantic,Indian,Southern,Pacific,Pacific
What is the chemical symbol for gold? (Set 2),Au,Ag,Gd,Go,Au
What is the largest island in the world? (Set 8),Greenland,Australia,Iceland,Borneo,Greenland
Which organ purifies our blood? (Set 1),Heart,Lungs,Liver,Kidneys,Kidneys
Which organ purifies our blood? (Set 6),Heart,Lungs,Liver,Kidneys,Kidneys
Which part of the plant conducts photosynthesis? (Set 3),Root,Stem,Leaf,Flower,Leaf
Which is the longest river in the world? (Set 10),Nile,Amazon,Yangtze,Mississippi,Nile
Which instrument is used to measure temperature? (Set 7),Ruler,Barometer,Thermometer,Altimeter,Thermometer
Which festival is known as the festival of lights? (Set 7),Holi,Diwali,Eid,Christmas,Diwali
What is the boiling point of water? (Set 10),90°C,100°C,110°C,120°C,100°C
Which vitamin is produced when skin is exposed to sunlight? (Set 1),A,B,C,D,D
How many bones are there in the human body? (Set 3),206,201,208,210,206
Which metal is liquid at room temperature? (Set 1),Gold,Mercury,Silver,Zinc,Mercury
Which planet is known as the Red Planet? (Set 5),Earth,Venus,Mars,Jupiter,Mars
Which bird is a universal symbol of peace? (Set 4),Crow,Swan,Dove,Eagle,Dove
Who is known as the father of computers? (Set 3),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Who discovered gravity? (Set 1),Newton,Einstein,Tesla,Galileo,Newton
What do bees collect and use to make honey? (Set 1),Nectar,Pollen,Water,Sap,Nectar
What is H2O more commonly known as? (Set 10),Oxygen,Hydrogen,Water,Steam,Water
What is the capital of Canada? (Set 7),Toronto,Vancouver,Ottawa,Montreal,Ottawa
What is the square root of 144? (Set 6),10,11,12,13,12
Which metal is liquid at room temperature? (Set 8),Gold,Mercury,Silver,Zinc,Mercury
Which animal is known as the ship of the desert? (Set 7),Horse,Camel,Donkey,Elephant,Camel
What is the freezing point of water? (Set 1),0°C,32°C,10°C,100°C,0°C
Who discovered gravity? (Set 5),Newton,Einstein,Tesla,Galileo,Newton
Who was the first President of India? (Set 4),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Which day is celebrated as World Environment Day? (Set 3),June 5,April 22,May 1,October 16,June 5
Which festival is known as the festival of lights? (Set 9),Holi,Diwali,Eid,Christmas,Diwali
Who painted the Mona Lisa? (Set 5),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What is the hardest natural substance? (Set 3),Gold,Iron,Diamond,Silver,Diamond
Which language has the most native speakers? (Set 6),English,Hindi,Mandarin,Spanish,Mandarin
What is the main ingredient in guacamole? (Set 9),Onion,Tomato,Avocado,Pepper,Avocado
What is the smallest planet in our solar system? (Set 10),Venus,Mercury,Mars,Pluto,Mercury
Which ocean is the largest? (Set 1),Atlantic,Indian,Southern,Pacific,Pacific
What is the main ingredient in guacamole? (Set 8),Onion,Tomato,Avocado,Pepper,Avocado
Which festival is known as the festival of lights? (Set 3),Holi,Diwali,Eid,Christmas,Diwali
What is the national flower of India? (Set 1),Rose,Lotus,Marigold,Jasmine,Lotus
What do we call animals that eat both plants and meat? (Set 9),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
What do we call animals that eat both plants and meat? (Set 3),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
What currency is used in Japan? (Set 6),Yen,Won,Ruble,Dollar,Yen
Who invented the telephone? (Set 8),Edison,Bell,Tesla,Marconi,Bell
Which language has the most native speakers? (Set 7),English,Hindi,Mandarin,Spanish,Mandarin
What is the capital of Canada? (Set 10),Toronto,Vancouver,Ottawa,Montreal,Ottawa
What is the boiling point of water? (Set 3),90°C,100°C,110°C,120°C,100°C
What is the chemical symbol for gold? (Set 7),Au,Ag,Gd,Go,Au
